Date : 2023-01-12 15:37:51
Directory : /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys
Total : 183 files,  39970 codes, 4814 comments, 2903 blanks, all 47687 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/danger.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/default.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/diagonal.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/diamond.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/drop.svg                                | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/drop_in.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/dropeye.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/elastic.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/flower.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/flurry.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/heart.svg                               | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/plus.svg                                | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/ropes-vert.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/ropes.svg                               | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/rounded.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/sdoz.svg                                | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/sparkle_dot.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/star.svg                                | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/sun.svg                                 | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/vortex.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/x.svg                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/blob.svg                                | XML        |          7 |          0 |          0 |          7 |
